"gsis_id","full_name","position","nfl_team","sleeper_id","pfr_id","espn_id","yahoo_id"
"00-0039530","Brevyn Spann-Ford","TE","DAL","11593","SpanBr00","4360967","41371"
"00-0039847","Theo Johnson","TE","NYG","11597","JohnTh00","4429148","41003"
"00-0039880","Malik Washington","WR","MIA","11610","WashMa00","4569603","41058"
"00-0039363","Isaac Guerendo","RB","SFO","11651","GuerIs00","4372561","40998"
"00-0039793","AJ Barner","TE","SEA","11603","BarnAJ00","4576297","41001"
"00-0039384","Tyrone Tracy","RB","NYG","11655","TracTy00","4360516","41048"
"00-0039798","Isaiah Davis","RB","NYJ","11571","DaviIs00","4695404","41031"
"00-0039391","Kimani Vidal","RB","LAC","11647","VidaKi00","4430968","41052"
"00-0039405","Jawhar Jordan","RB","FA","11588","JordJa00","4429939","41064"
"00-0039410","Ryan Flournoy","WR","DAL","11783","FlouRy00","5083754","41087"
"00-0039424","Devaughn Vele","WR","NOS","11834","VeleDe00","4569559","41097"
"00-0039491","Jalen Coker","WR","CAR","11646","CokeJa01","4695883","41293"
"00-0039623","Mason Tipton","WR","NOS","11895","TiptMa00","4573697","41188"
"00-0039757","Terrell Jennings","RB","FA","12412","JennTe00","4427600",
"00-0038400","Tanner McKee","QB","PHI","9230","McKeTa01","4685201","40220"
"00-0039150","Bryce Young","QB","CAR","9228","YounBr01","4685720","40029"
"00-0039152","Will Levis","QB","FA","9999","LeviWi00","4361418","40068"
"00-0039163","C.J. Stroud","QB","HOU","9758","StroCJ00","4432577","40030"
"00-0039164","Anthony Richardson","QB","IND","9229","RichAn03","4429084","40040"
"00-0038998","Jake Haener","QB","NYG","10215","HaenJa00","4243322","40144"
"00-0038583","Dorian Thompson-Robinson","QB","FA","10862","ThomDo02","4367178","40195"
"00-0038579","Aidan O'Connell","QB","LVR","10866","OConAi00","4260394","40138"
"00-0038582","Clayton Tune","QB","FA","10217","TuneCl00","4360175","40188"
"00-0038542","Bijan Robinson","RB","ATL","9509","RobiBi01","4430807","40055"
"00-0039139","Jahmyr Gibbs","RB","DET","9221","GibbJa01","4429795","40059"
"00-0038555","Tank Bigsby","RB","PHI","9225","BigsTa00","4429013","40095"
"00-0039032","Tyjae Spears","RB","TEN","9508","SpeaTy00","4428557","40119"
"00-0038951","Sean Tucker","RB","TBB","9506","TuckSe00","4430871","40742"
"00-0039040","De'Von Achane","RB","MIA","9226","AchaDe00","4429160","40118"
"00-0038389","Israel Abanikanda","RB","FA","9227","AbanIs00","4429202","40165"
"00-0039165","Zach Charbonnet","RB","SEA","9753","CharZa00","4426385","40075"
"00-0038636","Kenny McIntosh","RB","FA","10216","McInKe00","4427391","40267"
"00-0038551","Kendre Miller","RB","NOS","9757","MillKe01","4599739","40108"
"00-0038396","Eric Gray","RB","FA","10223","GrayEr01","4570561","40198"
"00-0038611","Chris Rodriguez","RB","JAC","10219","RodrCh00","4362619","40231"
"00-0039021","Roschon Johnson","RB","CHI","10235","JohnRo07","4426386","40162"
"00-0038622","Deuce Vaughn","RB","FA","9505","VaugDe00","4431453","40240"
"00-0038454","Keaton Mitchell","RB","LAC","9511","MitcKe01","4596334","40641"
"00-0038397","Evan Hull","RB","FA","9220","HullEv00","4569609","40169"
"00-0038597","Chase Brown","RB","CIN","9224","BrowCh10","4362238","40196"
"00-0038938","Jalin Hyatt","WR","NYG","9497","HyatJa00","4692590","40128"
"00-0039146","Jayden Reed","WR","GBP","10222","ReedJa03","4362249","40063"
"00-0038543","Jaxon Smith-Njigba","WR","SEA","9488","SmitJa06","4430878","40041"
"00-0038994","Jordan Addison","WR","MIN","9756","AddiJo00","4429205","40042"
"00-0038997","Josh Downs","WR","IND","9500","DownJo00","4688813","40126"
"00-0038544","Quentin Johnston","WR","LAC","9754","JohnQu02","4429025","40051"
"00-0038976","Marvin Mims","WR","DEN","9494","MimsMa00","4686472","40090"
"00-0039064","Zay Flowers","WR","BAL","9997","FlowZa00","4429615","40039"
"00-0038979","Cedric Tillman","WR","FA","10444","TillCe01","4369863","40093"
"00-0038606","Parker Washington","WR","JAC","9487","WashPa01","4432620","40234"
"00-0038608","Kayshon Boutte","WR","HOU","9504","BoutKa00","4429022","40224"
"00-0039067","Rashee Rice","WR","KCC","10229","RiceRa01","4428331","40084"
"00-0038393","Dontayvion Wicks","WR","PHI","9486","WickDo00","4428850","40201"
"00-0039062","Jonathan Mingo","WR","DAL","10225","MingJo00","4426485","40073"
"00-0038821","Rakim Jarrett","WR","PIT","9495","JarrRa00","4429006","40671"
"00-0039052","Trey Palmer","WR","NOS","9492","PalmTr00","4426407","40223"
"00-0038618","Xavier Hutchinson","WR","HOU","10218","HutcXa00","4686422","40232"
"00-0038647","Ronnie Bell","WR","FA","10221","BellRo01","4372063","40279"
"00-0038977","Tank Dell","WR","HOU","9502","DellNa00","4366031","40097"
"00-0038941","Tyler Scott","WR","FA","9490","ScotTy00","4565908","40141"
"00-0038559","Michael Wilson","WR","ARI","10232","WilsMi02","4360761","40121"
"00-0038619","Andrei Iosivas","WR","CIN","10226","IosiAn00","4368003","40211"
"00-0039075","Puka Nacua","WR","LAR","9493","NacuPu00","4426515","40168"
"00-0039066","Michael Mayer","TE","LVR","9482","MayeMi00","4429086","40065"
"00-0038933","Dalton Kincaid","TE","BUF","10236","KincDa00","4385690","40048"
"00-0039065","Sam LaPorta","TE","DET","10859","LaPoSa01","4430027","40064"
"00-0039144","Luke Musgrave","TE","GBP","9481","MusgLu00","4428085","40074"
"00-0038558","Darnell Washington","TE","PIT","9479","WashDa03","4430802","40094"
"00-0039050","Payne Durham","TE","TBB","10227","DurhPa00","4372505","40193"
"00-0039074","Davis Allen","TE","LAR","10214","AlleDa02","4426553","40164"
"00-0038394","Will Mallory","TE","IND","10220","MallWi00","4362523","40180"
"00-0038547","Luke Schoonmaker","TE","DAL","10871","SchoLu00","4372096","40061"
"00-0038996","Tucker Kraft","TE","GBP","9484","KrafTu00","4572680","40102"
"00-0038935","Brenton Strange","TE","JAC","9480","StraBr00","4430539","40078"
"00-0038563","Tre Tucker","WR","LVR","10213","TuckTr00","4428718","40114"
"00-0038573","Derius Davis","WR","LAC","10234","DaviDe02","4362477","40133"
"00-0038589","Josh Whyle","TE","GBP","10212","WhylJo01","4360086","40182"
"00-0039041","Elijah Higgins","TE","ARI","10231","HiggEl00","4426844","40226"
"00-0038621","Demario Douglas","WR","NEP","9501","DougDe00","4427095","40222"
"00-0038640","Jalen Brooks","WR","ARI","11034","BrooJa03","4692835","40257"
"00-0038416","Tyson Bagent","QB","CHI","11256","BageTy00","4434153","40504"
"00-0038705","Emari Demercado","RB","DAL","11199","DemeEm00","4362478","40430"
"00-0038685","Chris Brooks","RB","GBP","11370","BrooCh00","3149687","40625"
"00-0038794","Jaleel McLaughlin","RB","CLE","11439","McLaJa00","4722893","40696"
"00-0038738","Hunter Luepke","RB","DAL","11510","LuepHu00","4383396","40780"
"00-0038752","Jake Bobo","WR","SEA","10867","BoboJa00","4360405","40452"
"00-0038839","Mitchell Tinsley","WR","HOU","11068","TinsMi00","4690070","40313"
"00-0038465","Malik Heath","WR","ATL","11210","HeatMa00","4689334","40445"
"00-0038496","Xavier Gipson","WR","FA","11306","GipsXa00","4427278","40548"
"00-0038678","Jordan Mims","RB","FA","11378","MimsJo00","4243004","40631"
"00-0038720","Julian Hill","TE","NEP","11371","HillJu02","4365395","40629"
"00-0038359","Xavier Smith","WR","LAR","11168","SmitXa00","4386544","40399"
"00-0038797","Emanuel Wilson","RB","SEA","11435","WilsEm00","4887558","40707"
"00-0038476","Tommy DeVito","QB","NEP","11292","DeViTo00","4240391","40533"
"00-0038679","Tyrell Shavers","WR","BUF","11377","ShavTy00","4241476","40630"
"00-0038783","Nate Adkins","TE","DEN","11433","AdkiNa00","4383440","40702"
"00-0038824","Ryan Miller","WR","MIA","11421","MillRy01","4369466","40676"
"00-0038440","Zavier Scott","RB","CHI","11299","ScotZa00","4257364",
"00-0038102","Kenny Pickett","QB","CAR","8160","PickKe00","4240703","33975"
"00-0037077","Sam Howell","QB","DAL","8162","HoweSa00","4426875","34100"
"00-0038128","Malik Willis","QB","MIA","8161","WillMa12","4242512","34042"
"00-0038108","Bailey Zappe","QB","NYJ","8157","ZappBa00","4250360","34093"
"00-0038122","Desmond Ridder","QB","FA","8159","RiddDe00","4239086","34030"
"00-0037834","Brock Purdy","QB","SFO","8183","PurdBr00","4361741","34218"
"00-0037327","Skylar Thompson","QB","BAL","8206","ThomSk00","4036419","34203"
"00-0038120","Breece Hall","RB","NYJ","8155","HallBr03","4427366","33991"
"00-0038045","Isaiah Spiller","RB","FA","8153","SpilIs00","4426891","34079"
"00-0037840","Kyren Williams","RB","LAR","8150","WillKy02","4430737","34120"
"00-0038134","Kenneth Walker III","RB","KCC","8151","WalkKe00","4567048","33996"
"00-0037263","Tyler Allgeier","RB","ARI","8132","AllgTy00","4373626","34107"
"00-0037267","Jerome Ford","RB","FA","8143","FordJe00","4372019","34112"
"00-0038040","Zamir White","RB","NOS","8139","WhitZa01","4361777","34078"
"00-0037248","James Cook","RB","BUF","8138","CookJa01","4379399","34019"
"00-0037746","Brian Robinson","RB","ATL","8154","RobiBr01","4241474","34054"
"00-0037258","Dameon Pierce","RB","PHI","8129","PierDa01","4360238","34063"
"00-0037085","Tyler Badie","RB","DEN","8208","BadiTy00","4362748","34152"
"00-0037286","Kevin Harris","RB","FA","8174","HarrKe01","4570674","34139"
"00-0037617","Hassan Haskins","RB","NEP","8123","HaskHa00","4372071","34087"
"00-0037256","Rachaad White","RB","WAS","8136","WhitRa01","4697815","34047"
"00-0037276","Ty Chandler","RB","NOS","8230","ChanTy01","4242431","34125"
"00-0037557","Ronnie Rivers","RB","LAR","8195","RiveRo01","4243003","34310"
"00-0037157","Bam Knight","RB","ARI","8122","KnigZo00","4427728","34357"
"00-0037120","Tyler Goodson","RB","FA","8207","GoodTy00","4429676","34261"
"00-0038098","Pierre Strong Jr.","RB","FA","8116","StroPi00","4249836","34083"
"00-0037299","Keaontay Ingram","RB","KCC","8221","IngrKe01","4362087","34157"
"00-0037563","Malik Davis","RB","DAL","8800","DaviMa02","4240603","34610"
"00-0037228","Jaylen Warren","RB","PIT","8228","WarrJa01","4569987","34447"
"00-0037509","Sincere McCormick","RB","SFO","8220","McCoSi00","4430104","34551"
"00-0037827","Tyrion Davis-Price","RB","FA","8211","DaviTy03","4426475","34049"
"00-0037087","Trestan Ebner","RB","FA","8189","EbneTr00","4259169","34159"
"00-0037197","Isiah Pacheco","RB","DET","8205","PachIs00","4361529","34207"
"00-0037238","Drake London","WR","ATL","8112","LondDr00","4426502","33963"
"00-0037742","Treylon Burks","WR","WAS","8135","BurkTr00","4567156","33973"
"00-0037740","Garrett Wilson","WR","NYJ","8146","WilsGa00","4569618","33965"
"00-0037239","Chris Olave","WR","NOS","8144","OlavCh00","4361370","33966"
"00-0037741","Jahan Dotson","WR","ATL","8119","DotsJa00","4361409","33971"
"00-0037240","Jameson Williams","WR","DET","8148","WillJa11","4426388","33967"
"00-0038117","Wan'Dale Robinson","WR","TEN","8126","RobiWa01","4569587","33998"
"00-0037257","David Bell","WR","CLE","8118","BellDa02","4570409","34055"
"00-0037614","John Metchie","WR","CAR","8147","MetcJo00","4567096","33999"
"00-0037261","Khalil Shakir","WR","BUF","8134","ShakKh00","4373678","34104"
"00-0037247","George Pickens","WR","DAL","8137","PickGe00","4426354","34007"
"00-0037231","Kevin Austin","WR","NOS","8200","AustKe00","4372758","34242"
"00-0038090","Skyy Moore","WR","GBP","8168","MoorSk01","4430191","34009"
"00-0037745","Velus Jones","WR","SEA","8223","JoneVe00","4035693","34027"
"00-0037664","Alec Pierce","WR","IND","8142","PierAl00","4360078","34008"
"00-0037837","Calvin Austin III","WR","NYG","8125","AustCa00","4243389","34094"
"00-0037816","Romeo Doubs","WR","NEP","8121","DoubRo00","4361432","34088"
"00-0037091","Bo Melton","WR","GBP","8204","MeltBo00","4259305","34185"
"00-0037291","Jalen Nailor","WR","LVR","8180","NailJa00","4382466","34147"
"00-0038104","Tyquan Thornton","WR","KCC","8188","ThorTy00","4362921","34005"
"00-0037666","Jalen Tolbert","WR","MIA","8117","TolbJa00","4249417","34044"
"00-0038124","Christian Watson","WR","GBP","8167","WatsCh00","4248528","33989"
"00-0037300","Michael Woods","WR","GBP","8202","WoodMi00","4360174","34158"
"00-0037744","Trey McBride","TE","ARI","8130","McBrTr01","4361307","34010"
"00-0038046","Charlie Kolar","TE","LAC","8127","KolaCh00","4241263","34084"
"00-0037805","Jeremy Ruckert","TE","NYJ","8145","RuckJe00","4361372","34057"
"00-0037252","Greg Dulcich","TE","MIA","8172","DulcGr00","4367209","34036"
"00-0037838","Isaiah Likely","TE","NYG","8131","LikeIs00","4361050","34095"
"00-0038041","Jake Ferguson","TE","DAL","8110","FergJa00","4242355","34085"
"00-0037304","Connor Heyward","TE","LVR","8181","HeywCo00","4241961","34163"
"00-0038129","Cade Otton","TE","TBB","8111","OttoCa00","4243331","34062"
"00-0037078","Cole Turner","TE","MIA","8214","TurnCo00","4361438","34105"
"00-0037086","Grant Calcaterra","TE","PHI","8177","CalcGr00","4241374","34154"
"00-0037755","Jelani Woods","TE","NYJ","8219","WoodJe01","4241410","34029"
"00-0037098","Samori Toure","WR","FA","8235","TourSa00","4027873","34214"
"00-0038115","Daniel Bellinger","TE","TEN","8225","BellDa00","4361516","34068"
"00-0037809","Chigoziem Okonkwo","TE","WAS","8210","OkonCh00","4360635","34099"
"00-0037273","Kyle Philips","WR","FA","8171","PhilKy01","4367175","34119"
"00-0037292","Drew Ogletree","TE","IND","8489","OgleAn00","4722908","34148"
"00-0037324","Chris Oladokun","QB","KCC","8413","OladCh00","4044111","34197"
"00-0037594","Julius Chestnut","RB","TEN","8254","ChesJu00","4367567","34451"
"00-0037539","Lucas Krull","TE","FA","8249","KrulLu00","4360231","34654"
"00-0037525","Jordan Mason","RB","MIN","8408","MasoJo00","4360569","34320"
"00-0037429","Raheem Blackshear","RB","FA","8255","BlacRa00","4259308","34617"
"00-0037487","Deven Thompkins","WR","LVR","8253","ThomDe07","4374187","34520"
"00-0037801","KaVontae Turpin","WR","DAL","8917","TurpKa00","3676833","34709"
"00-0037382","Brandon Johnson","WR","DEN","8756","JohnBr23","4035198","34571"
"00-0037348","Tanner Conner","TE","FA","8849","ConnTa00","4047422","34513"
"00-0037569","Peyton Hendershot","TE","FA","8197","HendPe01","4258248","34607"
"00-0037175","Anthony Brown","QB","FA","8241","BrowAn06","4035312","34389"
"00-0037112","Jake Tonges","TE","SFO","8698","TongJa00","4259147","34374"
"00-0037545","Rashid Shaheed","WR","SEA","8676","ShahRa00","4032473","34659"
"00-0037475","Stone Smartt","TE","NOS","8583","SmarSt00","4250764","34637"
"00-0036971","Trevor Lawrence","QB","JAC","7523","LawrTr00","4360310","33389"
"00-0036945","Justin Fields","QB","KCC","7591","FielJu00","4362887","33399"
"00-0037013","Zach Wilson","QB","NOS","7538","WilsZa00","4361259","33390"
"00-0037012","Trey Lance","QB","LAC","7610","LancTr00","4383351","33391"
"00-0036972","Mac Jones","QB","SFO","7527","JoneMa05","4241464","33403"
"00-0036879","Sam Ehlinger","QB","DEN","7583","EhliSa00","4241820","33606"
"00-0036898","Davis Mills","QB","HOU","7585","MillDa02","4242546","33455"
"00-0036973","Travis Etienne","RB","NOS","7543","EtieTr00","4239996","33413"
"00-0036893","Najee Harris","RB","NYG","7528","HarrNa00","4241457","33412"
"00-0036919","Kenneth Gainwell","RB","TBB","7567","GainKe00","4371733","33538"
"00-0036997","Javonte Williams","RB","DAL","7588","WillJa10","4361579","33423"
"00-0036984","Trey Sermon","RB","ATL","7593","SermTr00","4241401","33476"
"00-0036924","Michael Carter","RB","TEN","7607","CartMi03","4240657","33495"
"00-0036875","Rhamondre Stevenson","RB","NEP","7611","StevRh00","4569173","33508"
"00-0036755","Jaret Patterson","RB","FA","7537","PattJa01","4362452","33706"
"00-0036555","Chuba Hubbard","RB","CAR","7594","HubbCh01","4241416","33514"
"00-0036670","Jermar Jefferson","RB","FA","7599","JeffJe00","4374033","33644"
"00-0036567","Elijah Mitchell","RB","FA","7561","MitcEl00","4241555","33582"
"00-0036654","Demetric Felton","RB","FA","7609","FeltDe00","4035826","33599"
"00-0036906","Khalil Herbert","RB","FA","7608","HerbKh00","4035886","33605"
"00-0036650","Larry Rountree","RB","FA","7574","RounLa00","4241205","33586"
"00-0036857","Chris Evans","RB","FA","7794","EvanCh02","4046530","33590"
"00-0036493","Deon Jackson","RB","FA","7551","JackDe02","4240455","33798"
"00-0036900","Ja'Marr Chase","WR","CIN","7564","ChasJa00","4362628","33393"
"00-0036912","DeVonta Smith","WR","PHI","7525","SmitDe07","4241478","33398"
"00-0036936","Rondale Moore","XX","MIN","7601","MoorRo02","4372485","33437"
"00-0036613","Jaylen Waddle","WR","DEN","7526","WaddJa00","4372016","33394"
"00-0036630","Tylan Wallace","WR","CLE","7595","WallTy00","4241424","33519"
"00-0036963","Amon-Ra St. Brown","WR","DET","7547","StxxAm00","4374302","33500"
"00-0036980","Elijah Moore","WR","PHI","7596","MoorEl00","4372414","33422"
"00-0036913","Kadarius Toney","WR","FA","7606","ToneKa00","4240600","33408"
"00-0036554","Nico Collins","WR","HOU","7569","CollNi00","4258173","33477"
"00-0036626","Dyami Brown","WR","WAS","7587","BrowDy00","4361577","33470"
"00-0036550","Rashod Bateman","WR","BAL","7571","BateRa00","4360939","33415"
"00-0036999","Anthony Schwartz","WR","FA","7533","SchwAn00","4371986","33479"
"00-0036991","Amari Rodgers","WR","FA","7540","RodgAm00","4239992","33473"
"00-0036572","Shi Smith","WR","FA","7603","SmitSh03","4259499","33592"
"00-0036849","Tutu Atwell","WR","LAR","7562","AtweTu00","4360797","33445"
"00-0036620","Dee Eskridge","WR","MIA","7612","EskrDW00","4043016","33444"
"00-0036646","Simi Fehoko","WR","ARI","7812","FehoSi00","4360739","33567"
"00-0036955","Terrace Marshall","WR","FA","7565","MarsTe00","4362630","33447"
"00-0036988","Joshua Palmer","WR","BUF","7670","PalmJo00","4242433","33465"
"00-0036671","Dax Milne","WR","FA","7751","MilnDa00","4373642","33645"
"00-0036970","Kyle Pitts","TE","ATL","7553","PittKy00","4360248","33392"
"00-0036556","Brevin Jordan","TE","HOU","7568","JordBr00","4362504","33535"
"00-0036894","Pat Freiermuth","TE","PIT","7600","FreiPa00","4361411","33443"
"00-0037005","Tommy Tremble","TE","CAR","7694","TremTo00","4372780","33471"
"00-0037011","Tre' McKitty","TE","FA","7554","McKiTr00","4240023","33485"
"00-0037004","Hunter Long","TE","ARI","7535","LongHu00","4239944","33469"
"00-0036887","Luke Farrell","TE","SFO","7842","FarrLu00","4040612","33533"
"00-0036637","Noah Gray","TE","KCC","7828","GrayNo00","4240472","33550"
"00-0036590","Quintin Morris","TE","JAC","7536","MorrQu00","4244049","33819"
"00-0036628","John Bates","TE","WAS","7716","BateJo00","4048228","33512"
"00-0036842","Kene Nwangwu","RB","NYJ","7720","NwanKe00","4035537","33507"
"00-0036876","Kylen Granson","TE","TEN","7602","GranKy00","4039160","33515"
"00-0036635","Ihmir Smith-Marsette","WR","FA","7559","SmitIh00","4240573","33545"
"00-0036950","Avery Williams","RB","NYJ","7809","WillAv02","4048259","33571"
"00-0036569","Gary Brightwell","RB","FA","7529","BrigGa00","4245645","33584"
"00-0036862","Ben Skowronek","WR","PIT","7757","SkowBe00","4035656","33637"
"00-0036829","Caleb Huntley","RB","FA","7741","HuntCa02","4244732","33732"
"00-0036741","Jack Stoll","TE","FA","7946","StolJa00","4034862","33891"
"00-0036534","Shane Zylstra","TE","NEP","8041","ZylsSh00","4608362","33803"
"00-0036754","Brock Wright","TE","DET","7891","WrigBr01","4242392","33774"
"00-0036727","Adam Prentice","RB","FA","8025","PrenAd00","3929914","33901"
"00-0036959","Michael Bandy","WR","FA","8076","BandMi00","4034704","33928"
"00-0036527","DJ Turner","WR","FA","7989","TurnDJ00","4036211","33813"
